# time_s wind_ms x1_blade_m x2_tower_m
0.000000000000000000e+00 2.060999999999999943e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 2.062500000000000000e+01 2.852435949741971544e-04 6.846498798101652666e-09
2.000000000000000042e-02 2.064199999999999946e+01 1.138926269196147319e-03 8.234902618588439130e-08
2.999999999999999889e-02 2.065800000000000125e+01 2.557429958921161178e-03 3.707025601559513383e-07
4.000000000000000083e-02 2.067399999999999949e+01 4.536377590199103423e-03 1.097250421295566959e-06
5.000000000000000278e-02 2.069000000000000128e+01 7.070652389225705672e-03 2.568125394765549677e-06
5.999999999999999778e-02 2.070700000000000074e+01 1.015439808564766802e-02 5.170249181616451585e-06
7.000000000000000666e-02 2.072400000000000020e+01 1.378094391821291231e-02 9.369812604864629249e-06
8.000000000000000167e-02 2.074299999999999855e+01 1.794293224185527710e-02 1.571137429899942072e-05
8.999999999999999667e-02 2.076399999999999935e+01 2.263273407806567356e-02 2.481796602646715606e-05
1.000000000000000056e-01 2.078900000000000148e+01 2.784216202342582741e-02 3.738358533306670203e-05
1.100000000000000006e-01 2.081700000000000017e+01 3.356245594686652067e-02 5.417290936802583647e-05
1.199999999999999956e-01 2.084799999999999898e+01 3.978428298966765753e-02 7.602129488400140918e-05
1.300000000000000044e-01 2.088100000000000023e+01 4.649773756545820536e-02 1.038347782370792674e-04
1.400000000000000133e-01 2.091499999999999915e+01 5.369234136021623638e-02 1.385900753867741475e-04
1.499999999999999944e-01 2.094600000000000151e+01 6.135704333226889989e-02 1.813345818960298238e-04
1.600000000000000033e-01 2.097400000000000020e+01 6.948021971229245697e-02 2.331863729312192172e-04
1.700000000000000122e-01 2.099500000000000099e+01 7.804973012719129688e-02 2.953328168089949367e-04
1.799999999999999933e-01 2.100799999999999912e+01 8.705458099702968744e-02 3.689721221379506496e-04
1.900000000000000022e-01 2.101000000000000156e+01 9.647974940268561062e-02 4.553982241765626546e-04
2.000000000000000111e-01 2.100199999999999889e+01 1.063081138075734344e-01 5.559805510685726909e-04
2.099999999999999922e-01 2.098300000000000054e+01 1.165223162099185139e-01 6.721254314158492046e-04
2.200000000000000011e-01 2.095400000000000063e+01 1.271047621427572605e-01 8.052760942783883250e-04
2.300000000000000100e-01 2.091900000000000048e+01 1.380376206739369338e-01 9.569126691743115327e-04
2.399999999999999911e-01 2.087999999999999901e+01 1.493028244061157250e-01 1.128552186079867341e-03
2.500000000000000000e-01 2.083999999999999986e+01 1.608820694767629234e-01 1.321748575429431728e-03
2.600000000000000089e-01 2.080499999999999972e+01 1.727568155581586384e-01 1.538092668115506514e-03
2.700000000000000178e-01 2.077799999999999869e+01 1.849082858573940502e-01 1.779212195488720331e-03
2.800000000000000266e-01 2.076300000000000168e+01 1.973174671163711869e-01 2.046771789357827980e-03
2.899999999999999800e-01 2.076099999999999923e+01 2.099651096118030913e-01 2.342472981989710858e-03
2.999999999999999889e-01 2.077499999999999858e+01 2.228317271552138490e-01 2.668054206109380429e-03
3.099999999999999978e-01 2.080499999999999972e+01 2.358975970929383659e-01 3.025290794899970423e-03
3.200000000000000067e-01 2.084900000000000020e+01 2.491429423912756014e-01 3.415982876118869860e-03
3.300000000000000155e-01 2.090700000000000003e+01 2.625537886371944185e-01 3.841663539629799114e-03
3.400000000000000244e-01 2.097500000000000142e+01 2.761167373158042726e-01 4.304078989599497210e-03
3.499999999999999778e-01 2.105000000000000071e+01 2.898165660324565351e-01 4.805102652178037601e-03
3.599999999999999867e-01 2.112800000000000011e+01 3.036378707003895006e-01 5.346583953923920128e-03
3.699999999999999956e-01 2.120599999999999952e+01 3.175650655407277756e-01 5.930348321804047168e-03
3.800000000000000044e-01 2.128000000000000114e+01 3.315823830824827789e-01 6.558197183193742279e-03
3.900000000000000133e-01 2.134799999999999898e+01 3.456738741625525191e-01 7.231907965876742395e-03
4.000000000000000222e-01 2.140700000000000003e+01 3.598234079257214280e-01 7.953234098045198694e-03
4.099999999999999756e-01 2.145700000000000074e+01 3.740146718246609714e-01 8.723905008299677466e-03
4.199999999999999845e-01 2.149699999999999989e+01 3.882311716199289275e-01 9.545626125649166183e-03
4.299999999999999933e-01 2.152700000000000102e+01 4.024562313799697755e-01 1.042007887951105702e-02
4.400000000000000022e-01 2.154599999999999937e+01 4.166729934811148062e-01 1.134892069971116420e-02
4.500000000000000111e-01 2.155499999999999972e+01 4.308644186075816229e-01 1.233378501648371185e-02
4.600000000000000200e-01 2.155399999999999849e+01 4.450132857514746965e-01 1.337628126047134963e-02
4.699999999999999734e-01 2.154299999999999926e+01 4.591021922127849209e-01 1.447799486272511975e-02
4.799999999999999822e-01 2.152199999999999847e+01 4.731135535993900576e-01 1.564048725470451248e-02
4.899999999999999911e-01 2.148999999999999844e+01 4.870296038270544026e-01 1.686529586827740373e-02
5.000000000000000000e-01 2.144800000000000040e+01 5.008323951194287860e-01 1.815393413572009840e-02
5.100000000000000089e-01 2.139499999999999957e+01 5.145036769339961236e-01 1.950785920780622254e-02
5.200000000000000178e-01 2.133099999999999952e+01 5.280217844707338903e-01 2.092791716231632779e-02
5.300000000000000266e-01 2.125799999999999912e+01 5.413648032805200572e-01 2.241541697959595694e-02
5.400000000000000355e-01 2.117800000000000082e+01 5.545124769648831498e-01 2.397185839797065510e-02
5.500000000000000444e-01 2.109199999999999875e+01 5.674455665112300151e-01 2.559864807256707203e-02
5.600000000000000533e-01 2.100499999999999901e+01 5.801458502928458216e-01 2.729709957531296916e-02
5.699999999999999512e-01 2.092000000000000171e+01 5.925961240688936149e-01 2.906843339493719175e-02
