# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.069	0.000
60.020	0.001	0.000	0.138	0.000
60.030	0.003	0.000	0.206	0.000
60.040	0.006	0.000	0.274	0.000
60.050	0.009	0.000	0.340	0.000
60.060	0.012	0.000	0.406	0.000
60.070	0.017	0.000	0.470	0.001
60.080	0.022	0.000	0.533	0.001
60.090	0.027	0.000	0.595	0.001
60.100	0.034	0.000	0.655	0.002
60.110	0.040	0.000	0.714	0.002
60.120	0.048	0.000	0.771	0.003
60.130	0.056	0.000	0.826	0.004
60.140	0.064	0.000	0.880	0.005
60.150	0.073	0.000	0.932	0.006
60.160	0.083	0.000	0.981	0.007
60.170	0.093	0.000	1.030	0.008
60.180	0.104	0.000	1.076	0.010
60.190	0.115	0.001	1.120	0.011
60.200	0.126	0.001	1.162	0.013
60.210	0.138	0.001	1.202	0.015
60.220	0.150	0.001	1.240	0.017
60.230	0.163	0.001	1.276	0.019
60.240	0.176	0.001	1.309	0.022
60.250	0.189	0.002	1.340	0.024
60.260	0.202	0.002	1.369	0.027
60.270	0.216	0.002	1.396	0.030
60.280	0.230	0.002	1.420	0.033
60.290	0.245	0.003	1.443	0.037
60.300	0.259	0.003	1.463	0.040
60.310	0.274	0.004	1.481	0.044
60.320	0.289	0.004	1.497	0.048
60.330	0.304	0.005	1.511	0.052
60.340	0.319	0.005	1.524	0.056
60.350	0.334	0.006	1.534	0.061
60.360	0.350	0.006	1.542	0.066
60.370	0.365	0.007	1.549	0.071
60.380	0.381	0.008	1.553	0.076
60.390	0.396	0.009	1.556	0.081
60.400	0.412	0.009	1.557	0.087
60.410	0.427	0.010	1.555	0.092
60.420	0.443	0.011	1.552	0.098
60.430	0.458	0.012	1.546	0.104
60.440	0.474	0.013	1.539	0.111
60.450	0.489	0.014	1.529	0.117
60.460	0.504	0.016	1.517	0.124
60.470	0.519	0.017	1.503	0.131
60.480	0.534	0.018	1.487	0.137
60.490	0.549	0.020	1.469	0.145
60.500	0.564	0.021	1.449	0.152
60.510	0.578	0.023	1.426	0.159
60.520	0.592	0.024	1.403	0.167
60.530	0.606	0.026	1.377	0.174
60.540	0.620	0.028	1.350	0.182
60.550	0.633	0.030	1.321	0.190
60.560	0.646	0.032	1.290	0.198
60.570	0.659	0.034	1.259	0.206
60.580	0.671	0.036	1.226	0.214
60.590	0.684	0.038	1.191	0.223
60.600	0.695	0.040	1.156	0.231
60.610	0.707	0.043	1.119	0.239
60.620	0.718	0.045	1.082	0.248
60.630	0.728	0.047	1.044	0.256
60.640	0.738	0.050	1.005	0.265
60.650	0.748	0.053	0.965	0.274
60.660	0.758	0.056	0.925	0.282
60.670	0.767	0.058	0.884	0.291
60.680	0.775	0.061	0.843	0.300
60.690	0.784	0.064	0.802	0.308
60.700	0.791	0.068	0.760	0.317
60.710	0.799	0.071	0.718	0.325
60.720	0.806	0.074	0.677	0.334
60.730	0.812	0.077	0.636	0.343
60.740	0.818	0.081	0.594	0.351
60.750	0.824	0.084	0.553	0.359
60.760	0.830	0.088	0.512	0.368
60.770	0.834	0.092	0.471	0.376
60.780	0.839	0.096	0.431	0.384
60.790	0.843	0.100	0.390	0.392
60.800	0.847	0.103	0.350	0.400
60.810	0.850	0.108	0.310	0.408
60.820	0.853	0.112	0.271	0.416
60.830	0.856	0.116	0.233	0.423
60.840	0.858	0.120	0.194	0.430
60.850	0.860	0.124	0.157	0.438
60.860	0.861	0.129	0.120	0.445
60.870	0.862	0.133	0.084	0.452
60.880	0.863	0.138	0.048	0.458
60.890	0.863	0.142	0.014	0.465
60.900	0.863	0.147	-0.020	0.471
60.910	0.862	0.152	-0.053	0.477
