# time_s wind_ms x1_blade_m x2_tower_m
0.000000000000000000e+00 1.748499999999999943e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 1.749800000000000111e+01 3.293955241061329638e-04 7.907930932346108606e-09
2.000000000000000042e-02 1.751099999999999923e+01 1.314403091099885894e-03 9.691640245648530693e-08
2.999999999999999889e-02 1.752400000000000091e+01 2.949481766390732451e-03 4.359390451632026038e-07
4.000000000000000083e-02 1.753699999999999903e+01 5.228125502335786816e-03 1.283126020169106943e-06
5.000000000000000278e-02 1.755000000000000071e+01 8.143100378520055915e-03 2.987707695419580590e-06
5.999999999999999778e-02 1.756299999999999883e+01 1.168644631401808895e-02 5.990020823020860807e-06
7.000000000000000666e-02 1.757700000000000173e+01 1.584947706739397999e-02 1.082150853924004429e-05
8.000000000000000167e-02 1.759199999999999875e+01 2.062278023670135671e-02 1.810472036450507837e-05
8.999999999999999667e-02 1.760999999999999943e+01 2.599621725948338472e-02 2.855331220340475996e-05
1.000000000000000056e-01 1.762900000000000134e+01 3.195892341277279530e-02 4.297204634468878258e-05
1.100000000000000006e-01 1.765200000000000102e+01 3.849931883665620724e-02 6.225146440284182246e-05
1.199999999999999956e-01 1.767699999999999960e+01 4.560560702383268522e-02 8.733024660782252033e-05
1.300000000000000044e-01 1.770400000000000063e+01 5.326589946094817396e-02 1.192579838302094389e-04
1.400000000000000133e-01 1.773100000000000165e+01 6.146749188241944217e-02 1.591611484986426661e-04
1.499999999999999944e-01 1.775600000000000023e+01 7.019680910301299981e-02 2.082319279084897834e-04
1.600000000000000033e-01 1.777799999999999869e+01 7.943940501784525765e-02 2.677282242218465566e-04
1.700000000000000122e-01 1.779500000000000171e+01 8.917996260238228445e-02 3.389736544675357299e-04
1.799999999999999933e-01 1.780600000000000094e+01 9.940229391244002899e-02 4.233575505411080555e-04
1.900000000000000022e-01 1.780799999999999983e+01 1.100893400841842368e-01 5.223349592048421317e-04
2.000000000000000111e-01 1.780099999999999838e+01 1.212231713341303807e-01 6.374266420877437245e-04
2.099999999999999922e-01 1.778500000000000014e+01 1.327849869591437026e-01 7.702190756855463102e-04
2.200000000000000011e-01 1.776300000000000168e+01 1.447551153364394216e-01 9.223644513607116716e-04
2.300000000000000100e-01 1.773400000000000176e+01 1.571128593750743263e-01 1.095556432892580206e-03
2.399999999999999911e-01 1.770200000000000173e+01 1.698351733575672595e-01 1.291398244461925554e-03
2.500000000000000000e-01 1.767099999999999937e+01 1.828990610942534401e-01 1.511707782336929986e-03
2.600000000000000089e-01 1.764300000000000068e+01 1.962821460989164213e-01 1.758358973891546630e-03
2.700000000000000178e-01 1.762099999999999866e+01 2.099625011216795512e-01 2.033236037159929979e-03
2.800000000000000266e-01 1.760800000000000054e+01 2.239186481490060832e-01 2.338233480836434362e-03
2.899999999999999800e-01 1.760699999999999932e+01 2.381295584036989821e-01 2.675256104275614607e-03
2.999999999999999889e-01 1.761799999999999855e+01 2.525746523449012848e-01 3.046218997492231885e-03
3.099999999999999978e-01 1.764199999999999946e+01 2.672337996680957950e-01 3.453047541161240706e-03
3.200000000000000067e-01 1.767800000000000082e+01 2.820873193051048888e-01 3.897677406617800627e-03
3.300000000000000155e-01 1.772500000000000142e+01 2.971159794240912366e-01 4.382054555857269745e-03
3.400000000000000244e-01 1.777899999999999991e+01 3.123009974295569702e-01 4.908135241535210337e-03
3.499999999999999778e-01 1.783999999999999986e+01 3.276240399623442379e-01 5.477886006967378450e-03
