# time_s wind_ms x1_blade_m x2_tower_m
0.000000000000000000e+00 6.089000000000000412e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 6.091999999999999638e+00 2.059047463799999864e-04 4.946721598399834975e-09
2.000000000000000042e-02 6.094999999999999751e+00 8.198710291561594858e-04 5.879942935143306031e-08
2.999999999999999889e-02 6.097999999999999865e+00 1.835850769506048707e-03 2.665964345043394044e-07
4.000000000000000083e-02 6.100999999999999979e+00 3.247277395329642956e-03 7.914280870054587924e-07
5.000000000000000278e-02 6.105000000000000426e+00 5.047231208158949392e-03 1.850685850652086029e-06
5.999999999999999778e-02 6.107999999999999652e+00 7.228440570647176253e-03 3.716041517527382425e-06
7.000000000000000666e-02 6.110999999999999766e+00 9.783281906568732852e-03 6.713447208000384661e-06
8.000000000000000167e-02 6.115000000000000213e+00 1.270377970081923436e-02 1.122313537072599908e-05
8.999999999999999667e-02 6.120000000000000107e+00 1.598160649941549050e-02 1.767961878264498747e-05
1.000000000000000056e-01 6.125000000000000000e+00 1.960808290949552640e-02 2.657169054898400587e-05
1.100000000000000006e-01 6.129999999999999893e+00 2.357417759931855830e-02 3.844242410325555455e-05
1.199999999999999956e-01 6.136000000000000121e+00 2.787074470108206331e-02 5.386560253581941559e-05
1.300000000000000044e-01 6.142999999999999794e+00 3.248858370537414941e-02 7.345946649897240198e-05
1.400000000000000133e-01 6.150000000000000355e+00 3.741797125746717384e-02 9.791174444317703000e-05
1.499999999999999944e-01 6.155999999999999694e+00 4.264883593020103031e-02 1.279447599327071007e-04
1.600000000000000033e-01 6.161999999999999922e+00 4.817075933369752150e-02 1.643152859832294494e-04
1.700000000000000122e-01 6.166000000000000369e+00 5.397297611536033823e-02 2.078145450618034036e-04
1.799999999999999933e-01 6.168000000000000149e+00 6.004437395987505949e-02 2.592682090868809455e-04
1.900000000000000022e-01 6.168999999999999595e+00 6.637349358920921483e-02 3.195363994283073085e-04
2.000000000000000111e-01 6.166999999999999815e+00 7.294852876261219421e-02 3.895136869073200013e-04
2.099999999999999922e-01 6.163000000000000256e+00 7.975732627661530350e-02 4.701290917965492144e-04
2.200000000000000011e-01 6.158000000000000362e+00 8.678738596503177138e-02 5.623460838200184438e-04
2.300000000000000100e-01 6.150999999999999801e+00 9.402586069895668697e-02 6.671625821531435149e-04
2.399999999999999911e-01 6.142999999999999794e+00 1.014595480738395145e-01 7.856048610398641595e-04
2.500000000000000000e-01 6.134999999999999787e+00 1.090747173752814048e-01 9.186084117899736591e-04
2.600000000000000089e-01 6.128000000000000114e+00 1.168576750104260709e-01 1.067234193045084496e-03
2.700000000000000178e-01 6.121999999999999886e+00 1.247950651184711046e-01 1.232605656510673414e-03
2.800000000000000266e-01 6.118999999999999773e+00 1.328738183015212015e-01 1.415844402166603708e-03
2.899999999999999800e-01 6.118999999999999773e+00 1.410811516245879527e-01 1.618070178267123167e-03
2.999999999999999889e-01 6.121000000000000441e+00 1.494045686155901775e-01 1.840400881340867757e-03
3.099999999999999978e-01 6.126999999999999780e+00 1.578318592653535912e-01 2.083952556190857286e-03
3.200000000000000067e-01 6.136000000000000121e+00 1.663511000276109708e-01 2.349839395894498008e-03
