# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.001	0.000	0.116	0.000
60.020	0.002	0.000	0.229	0.000
60.030	0.005	0.000	0.339	0.000
60.040	0.009	0.000	0.448	0.000
60.050	0.014	0.000	0.553	0.000
60.060	0.020	0.000	0.656	0.001
60.070	0.027	0.000	0.756	0.001
60.080	0.035	0.000	0.852	0.002
60.090	0.044	0.000	0.946	0.002
60.100	0.054	0.000	1.036	0.003
60.110	0.065	0.000	1.123	0.004
60.120	0.077	0.000	1.207	0.005
60.130	0.089	0.000	1.287	0.006
60.140	0.102	0.000	1.364	0.007
60.150	0.116	0.000	1.437	0.009
60.160	0.131	0.000	1.506	0.011
60.170	0.146	0.001	1.573	0.013
60.180	0.163	0.001	1.636	0.015
60.190	0.179	0.001	1.695	0.018
60.200	0.196	0.001	1.751	0.020
60.210	0.214	0.001	1.803	0.023
60.220	0.232	0.002	1.851	0.027
60.230	0.251	0.002	1.896	0.030
60.240	0.270	0.002	1.937	0.034
60.250	0.290	0.003	1.975	0.038
60.260	0.310	0.003	2.009	0.042
60.270	0.330	0.003	2.040	0.047
60.280	0.351	0.004	2.067	0.052
60.290	0.371	0.004	2.091	0.057
60.300	0.392	0.005	2.112	0.062
60.310	0.414	0.006	2.129	0.068
60.320	0.435	0.006	2.144	0.074
60.330	0.457	0.007	2.156	0.080
60.340	0.478	0.008	2.165	0.087
60.350	0.500	0.009	2.171	0.094
60.360	0.522	0.010	2.175	0.101
60.370	0.543	0.011	2.176	0.108
60.380	0.565	0.012	2.174	0.116
60.390	0.587	0.013	2.170	0.123
60.400	0.608	0.014	2.163	0.132
60.410	0.630	0.016	2.154	0.140
60.420	0.652	0.017	2.143	0.149
60.430	0.673	0.019	2.128	0.158
60.440	0.694	0.020	2.111	0.167
60.450	0.715	0.022	2.091	0.176
60.460	0.736	0.024	2.068	0.186
60.470	0.756	0.026	2.043	0.196
60.480	0.777	0.028	2.014	0.206
60.490	0.797	0.030	1.984	0.216
60.500	0.816	0.032	1.951	0.226
60.510	0.836	0.034	1.915	0.237
60.520	0.855	0.037	1.878	0.248
60.530	0.873	0.039	1.839	0.259
60.540	0.892	0.042	1.798	0.270
60.550	0.909	0.045	1.756	0.281
60.560	0.927	0.048	1.712	0.292
60.570	0.944	0.051	1.666	0.304
60.580	0.960	0.054	1.620	0.315
60.590	0.976	0.057	1.572	0.327
60.600	0.991	0.060	1.523	0.339
60.610	1.006	0.064	1.474	0.351
60.620	1.021	0.067	1.424	0.363
60.630	1.035	0.071	1.373	0.375
60.640	1.048	0.075	1.322	0.387
60.650	1.061	0.079	1.271	0.399
60.660	1.074	0.083	1.219	0.411
60.670	1.086	0.087	1.168	0.423
60.680	1.097	0.091	1.116	0.435
60.690	1.108	0.096	1.065	0.447
60.700	1.118	0.100	1.015	0.459
60.710	1.128	0.105	0.965	0.471
60.720	1.138	0.110	0.915	0.483
60.730	1.147	0.114	0.867	0.495
60.740	1.155	0.119	0.818	0.506
60.750	1.163	0.125	0.771	0.518
60.760	1.170	0.130	0.723	0.530
60.770	1.177	0.135	0.677	0.541
60.780	1.184	0.141	0.631	0.552
60.790	1.190	0.146	0.586	0.563
60.800	1.196	0.152	0.541	0.574
60.810	1.201	0.158	0.498	0.585
60.820	1.206	0.164	0.455	0.596
