# time_s wind_ms x1_blade_m x2_tower_m
2.200000000000000011e-01 1.035299999999999976e+01 2.109329379108511870e-01 1.388004789215333684e-03
2.300000000000000100e-01 1.033900000000000041e+01 2.281623840590627506e-01 1.644804916207509961e-03
2.399999999999999911e-01 1.032300000000000040e+01 2.458119792612064591e-01 1.934586473010318705e-03
2.500000000000000000e-01 1.030799999999999983e+01 2.638471721674287007e-01 2.259859767210254007e-03
2.600000000000000089e-01 1.029400000000000048e+01 2.822343698810930168e-01 2.623145038449786227e-03
2.700000000000000178e-01 1.028299999999999947e+01 3.009409379587805744e-01 3.026972458427364381e-03
2.800000000000000266e-01 1.027699999999999925e+01 3.199352004102897773e-01 3.473882130897418957e-03
2.899999999999999800e-01 1.027599999999999980e+01 3.391864396986364882e-01 3.966424091670351509e-03
2.999999999999999889e-01 1.028200000000000003e+01 3.586648967400541399e-01 4.507158308612556341e-03
3.099999999999999978e-01 1.029400000000000048e+01 3.783417709039931243e-01 5.098654681646392316e-03
3.200000000000000067e-01 1.031099999999999994e+01 3.981892200131217363e-01 5.743493042750203240e-03
3.300000000000000155e-01 1.033399999999999963e+01 4.181803603433252303e-01 6.444263155958311791e-03
3.400000000000000244e-01 1.036100000000000065e+01 4.382892666237065415e-01 7.203564717361016917e-03
3.499999999999999778e-01 1.039100000000000001e+01 4.584909720365858421e-01 8.024007355104594702e-03
3.599999999999999867e-01 1.042200000000000060e+01 4.787614737223853112e-01 8.908210094002742829e-03
3.699999999999999956e-01 1.045299999999999940e+01 4.990810938456281542e-01 9.858474203639755115e-03
3.800000000000000044e-01 1.048199999999999932e+01 5.194292760341555626e-01 1.087723423074595311e-02
3.900000000000000133e-01 1.050900000000000034e+01 5.397823585533999546e-01 1.196718504731007250e-02
4.000000000000000222e-01 1.053299999999999947e+01 5.601168817095563135e-01 1.313094838500650924e-02
4.099999999999999756e-01 1.055300000000000082e+01 5.804095878495818539e-01 1.437107283519530564e-02
4.199999999999999845e-01 1.056799999999999962e+01 6.006374213611966884e-01 1.569003384892218508e-02
4.299999999999999933e-01 1.058000000000000007e+01 6.207775286728831610e-01 1.709023373691850520e-02
4.400000000000000022e-01 1.058799999999999919e+01 6.408072582538860695e-01 1.857400166960128385e-02
4.500000000000000111e-01 1.059099999999999930e+01 6.607041606142126655e-01 2.014359367707321130e-02
4.600000000000000200e-01 1.059099999999999930e+01 6.804459883046327651e-01 2.180119264912261379e-02
4.699999999999999734e-01 1.058600000000000030e+01 7.000106959166785270e-01 2.354890833522348126e-02
4.799999999999999822e-01 1.057799999999999940e+01 7.193764400826447858e-01 2.538877734453547780e-02
4.899999999999999911e-01 1.056499999999999950e+01 7.385215794755890517e-01 2.732276314590391386e-02
5.000000000000000000e-01 1.054800000000000004e+01 7.574246748093307335e-01 2.935275606785973934e-02
5.100000000000000089e-01 1.052699999999999925e+01 7.760644888384520268e-01 3.148057329861958520e-02
5.200000000000000178e-01 1.050200000000000067e+01 7.944199863582975807e-01 3.370795888608572877e-02
5.300000000000000266e-01 1.047300000000000075e+01 8.124703342049746091e-01 3.603658373784610763e-02
5.400000000000000355e-01 1.044100000000000072e+01 8.301949012553528906e-01 3.846804562117431270e-02
5.500000000000000444e-01 1.040700000000000003e+01 8.475732562524335156e-01 4.100386842785404273e-02
5.600000000000000533e-01 1.037199999999999989e+01 8.645825592322009534e-01 4.364456745686330630e-02
5.699999999999999512e-01 1.033799999999999919e+01 8.812023772123442900e-01 4.639096490888636876e-02
5.799999999999999600e-01 1.030700000000000038e+01 8.974166239893250907e-01 4.924471925551311691e-02
5.899999999999999689e-01 1.027999999999999936e+01 9.132106039660949914e-01 5.220733514234888323e-02
5.999999999999999778e-01 1.025799999999999912e+01 9.285710121520955873e-01 5.528016338901458465e-02
6.099999999999999867e-01 1.024399999999999977e+01 9.434859341632589880e-01 5.846440098914666011e-02
6.199999999999999956e-01 1.023700000000000010e+01 9.579448462220074845e-01 6.176109111039711219e-02
6.300000000000000044e-01 1.023700000000000010e+01 9.719386151572537713e-01 6.517112309443348628e-02
6.400000000000000133e-01 1.024499999999999922e+01 9.854594984044001693e-01 6.869523245693881508e-02
6.500000000000000222e-01 1.025999999999999979e+01 9.985011440053399578e-01 7.233400088761174351e-02
6.600000000000000311e-01 1.027899999999999991e+01 1.011058590608456154e+00 7.608785625016645238e-02
6.700000000000000400e-01 1.030100000000000016e+01 1.023128267468622399e+00 7.995707258233256121e-02
