# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.075	0.000
60.020	0.002	0.000	0.150	0.000
60.030	0.003	0.000	0.223	0.000
60.040	0.006	0.000	0.296	0.000
60.050	0.009	0.000	0.367	0.000
60.060	0.013	0.000	0.438	0.000
60.070	0.018	0.000	0.507	0.001
60.080	0.023	0.000	0.575	0.001
60.090	0.030	0.000	0.641	0.001
60.100	0.036	0.000	0.705	0.002
60.110	0.044	0.000	0.768	0.003
60.120	0.052	0.000	0.829	0.003
60.130	0.060	0.000	0.888	0.004
60.140	0.069	0.000	0.944	0.005
60.150	0.079	0.000	0.999	0.006
60.160	0.089	0.000	1.052	0.007
60.170	0.100	0.000	1.103	0.009
60.180	0.111	0.000	1.152	0.010
60.190	0.123	0.001	1.198	0.012
60.200	0.135	0.001	1.243	0.014
60.210	0.148	0.001	1.285	0.016
60.220	0.161	0.001	1.324	0.018
60.230	0.174	0.001	1.362	0.021
60.240	0.188	0.001	1.397	0.023
60.250	0.202	0.002	1.429	0.026
60.260	0.217	0.002	1.459	0.029
60.270	0.232	0.002	1.487	0.032
60.280	0.247	0.003	1.512	0.036
60.290	0.262	0.003	1.535	0.039
60.300	0.277	0.003	1.555	0.043
60.310	0.293	0.004	1.573	0.047
60.320	0.309	0.004	1.590	0.051
60.330	0.325	0.005	1.604	0.056
60.340	0.341	0.005	1.616	0.061
60.350	0.357	0.006	1.626	0.065
60.360	0.373	0.007	1.634	0.070
60.370	0.390	0.008	1.641	0.076
60.380	0.406	0.008	1.645	0.081
60.390	0.423	0.009	1.647	0.087
60.400	0.439	0.010	1.646	0.093
60.410	0.455	0.011	1.644	0.099
60.420	0.472	0.012	1.639	0.105
60.430	0.488	0.013	1.633	0.112
60.440	0.505	0.014	1.624	0.118
60.450	0.521	0.015	1.613	0.125
60.460	0.537	0.017	1.599	0.132
60.470	0.553	0.018	1.584	0.139
60.480	0.568	0.020	1.566	0.147
60.490	0.584	0.021	1.546	0.154
60.500	0.599	0.023	1.524	0.162
60.510	0.614	0.024	1.500	0.170
60.520	0.629	0.026	1.474	0.178
60.530	0.644	0.028	1.447	0.186
60.540	0.658	0.030	1.418	0.194
60.550	0.672	0.032	1.387	0.203
60.560	0.686	0.034	1.354	0.211
60.570	0.699	0.036	1.321	0.220
60.580	0.713	0.038	1.286	0.228
60.590	0.725	0.041	1.249	0.237
60.600	0.738	0.043	1.212	0.246
60.610	0.749	0.045	1.174	0.255
60.620	0.761	0.048	1.134	0.264
60.630	0.772	0.051	1.094	0.273
60.640	0.783	0.053	1.053	0.282
60.650	0.793	0.056	1.012	0.291
60.660	0.803	0.059	0.970	0.300
60.670	0.813	0.062	0.927	0.309
60.680	0.822	0.066	0.884	0.319
60.690	0.830	0.069	0.841	0.328
60.700	0.838	0.072	0.798	0.337
60.710	0.846	0.075	0.755	0.346
60.720	0.853	0.079	0.711	0.355
60.730	0.860	0.083	0.668	0.364
60.740	0.867	0.086	0.626	0.373
60.750	0.873	0.090	0.583	0.382
60.760	0.878	0.094	0.541	0.391
60.770	0.884	0.098	0.499	0.399
60.780	0.888	0.102	0.457	0.408
60.790	0.893	0.106	0.415	0.416
60.800	0.897	0.110	0.373	0.425
60.810	0.900	0.115	0.333	0.433
60.820	0.903	0.119	0.292	0.441
60.830	0.906	0.123	0.252	0.449
60.840	0.909	0.128	0.213	0.457
60.850	0.911	0.132	0.175	0.464
60.860	0.912	0.137	0.137	0.472
60.870	0.913	0.142	0.100	0.479
60.880	0.914	0.147	0.064	0.486
60.890	0.915	0.152	0.029	0.493
60.900	0.915	0.157	-0.005	0.500
60.910	0.914	0.162	-0.038	0.506
60.920	0.914	0.167	-0.070	0.513
60.930	0.913	0.172	-0.101	0.519
60.940	0.912	0.177	-0.130	0.524
60.950	0.910	0.182	-0.159	0.530
60.960	0.909	0.188	-0.186	0.535
60.970	0.907	0.193	-0.212	0.540
60.980	0.904	0.198	-0.236	0.545
60.990	0.902	0.204	-0.260	0.549
61.000	0.899	0.209	-0.281	0.554
61.010	0.896	0.215	-0.302	0.558
61.020	0.893	0.221	-0.321	0.561
61.030	0.890	0.226	-0.338	0.565
61.040	0.886	0.232	-0.354	0.568
61.050	0.883	0.238	-0.369	0.571
61.060	0.879	0.243	-0.383	0.573
61.070	0.875	0.249	-0.394	0.575
61.080	0.871	0.255	-0.405	0.577
61.090	0.867	0.261	-0.414	0.579
61.100	0.863	0.266	-0.421	0.580
61.110	0.858	0.272	-0.426	0.581
61.120	0.854	0.278	-0.430	0.582
61.130	0.850	0.284	-0.433	0.582
61.140	0.846	0.290	-0.434	0.582
61.150	0.841	0.296	-0.433	0.582
61.160	0.837	0.301	-0.430	0.582
61.170	0.833	0.307	-0.427	0.581
61.180	0.828	0.313	-0.421	0.580
61.190	0.824	0.319	-0.414	0.578
61.200	0.820	0.325	-0.405	0.576
61.210	0.816	0.330	-0.396	0.574
61.220	0.812	0.336	-0.384	0.572
61.230	0.808	0.342	-0.372	0.569
61.240	0.805	0.347	-0.358	0.566
61.250	0.801	0.353	-0.343	0.563
61.260	0.798	0.359	-0.326	0.559
61.270	0.795	0.364	-0.309	0.555
61.280	0.792	0.370	-0.291	0.551
61.290	0.789	0.375	-0.271	0.547
61.300	0.786	0.381	-0.251	0.542
61.310	0.784	0.386	-0.230	0.537
61.320	0.782	0.391	-0.207	0.532
61.330	0.780	0.397	-0.184	0.527
61.340	0.778	0.402	-0.160	0.521
61.350	0.777	0.407	-0.136	0.515
61.360	0.775	0.412	-0.110	0.509
61.370	0.774	0.417	-0.084	0.503
61.380	0.774	0.422	-0.058	0.496
61.390	0.773	0.427	-0.031	0.489
61.400	0.773	0.432	-0.003	0.482
61.410	0.773	0.437	0.024	0.475
61.420	0.773	0.442	0.052	0.468
61.430	0.774	0.446	0.081	0.460
61.440	0.775	0.451	0.109	0.452
61.450	0.776	0.455	0.137	0.444
61.460	0.778	0.460	0.166	0.436
61.470	0.780	0.464	0.194	0.428
61.480	0.782	0.468	0.222	0.419
61.490	0.784	0.472	0.250	0.411
61.500	0.787	0.476	0.277	0.402
61.510	0.790	0.480	0.304	0.393
61.520	0.793	0.484	0.331	0.384
61.530	0.796	0.488	0.357	0.375
61.540	0.800	0.492	0.382	0.366
61.550	0.804	0.495	0.408	0.357
61.560	0.808	0.499	0.434	0.347
61.570	0.813	0.502	0.459	0.338
61.580	0.817	0.506	0.484	0.328
61.590	0.822	0.509	0.508	0.319
61.600	0.828	0.512	0.532	0.309
61.610	0.833	0.515	0.555	0.299
61.620	0.839	0.518	0.578	0.289
61.630	0.844	0.521	0.600	0.280
61.640	0.851	0.524	0.621	0.270
61.650	0.857	0.526	0.641	0.260
61.660	0.863	0.529	0.660	0.250
61.670	0.870	0.531	0.679	0.240
61.680	0.877	0.534	0.696	0.230
61.690	0.884	0.536	0.712	0.221
61.700	0.891	0.538	0.728	0.211
61.710	0.898	0.540	0.742	0.201
61.720	0.906	0.542	0.756	0.191
61.730	0.914	0.544	0.769	0.181
61.740	0.921	0.546	0.780	0.172
61.750	0.929	0.547	0.791	0.162
61.760	0.937	0.549	0.801	0.152
61.770	0.945	0.550	0.810	0.143
61.780	0.953	0.552	0.818	0.133
61.790	0.962	0.553	0.825	0.124
61.800	0.970	0.554	0.832	0.114
61.810	0.978	0.555	0.838	0.105
61.820	0.987	0.556	0.844	0.096
61.830	0.995	0.557	0.848	0.086
61.840	1.004	0.558	0.851	0.077
61.850	1.012	0.559	0.854	0.068
61.860	1.021	0.559	0.855	0.059
61.870	1.029	0.560	0.855	0.051
61.880	1.038	0.560	0.853	0.042
61.890	1.046	0.561	0.851	0.033
61.900	1.055	0.561	0.847	0.025
61.910	1.063	0.561	0.841	0.017
61.920	1.072	0.561	0.835	0.008
61.930	1.080	0.562	0.827	0.000
61.940	1.088	0.561	0.817	-0.008
61.950	1.096	0.561	0.807	-0.016
61.960	1.104	0.561	0.795	-0.023
61.970	1.112	0.561	0.782	-0.031
61.980	1.120	0.561	0.768	-0.039
61.990	1.127	0.560	0.753	-0.046
62.000	1.135	0.560	0.737	-0.053
62.010	1.142	0.559	0.721	-0.060
62.020	1.149	0.558	0.703	-0.067
62.030	1.156	0.558	0.686	-0.074
62.040	1.163	0.557	0.667	-0.081
62.050	1.170	0.556	0.649	-0.087
62.060	1.176	0.555	0.630	-0.094
62.070	1.182	0.554	0.611	-0.100
62.080	1.188	0.553	0.592	-0.106
62.090	1.194	0.552	0.572	-0.112
62.100	1.200	0.551	0.551	-0.118
62.110	1.205	0.550	0.530	-0.124
62.120	1.210	0.548	0.509	-0.130
62.130	1.215	0.547	0.487	-0.135
62.140	1.220	0.546	0.465	-0.141
62.150	1.225	0.544	0.442	-0.146
62.160	1.229	0.543	0.418	-0.151
62.170	1.233	0.541	0.395	-0.156
62.180	1.237	0.540	0.370	-0.161
62.190	1.240	0.538	0.346	-0.166
