# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.046	0.000
60.020	0.001	0.000	0.092	0.000
60.030	0.002	0.000	0.137	0.000
60.040	0.004	0.000	0.183	0.000
60.050	0.006	0.000	0.228	0.000
60.060	0.008	0.000	0.273	0.000
60.070	0.011	0.000	0.317	0.000
60.080	0.015	0.000	0.360	0.001
60.090	0.018	0.000	0.403	0.001
60.100	0.023	0.000	0.445	0.001
60.110	0.027	0.000	0.486	0.002
60.120	0.032	0.000	0.527	0.002
60.130	0.038	0.000	0.566	0.003
60.140	0.044	0.000	0.604	0.003
60.150	0.050	0.000	0.641	0.004
60.160	0.056	0.000	0.677	0.005
60.170	0.063	0.000	0.712	0.006
60.180	0.071	0.000	0.746	0.006
60.190	0.078	0.000	0.778	0.008
60.200	0.086	0.000	0.810	0.009
60.210	0.095	0.001	0.840	0.010
60.220	0.103	0.001	0.868	0.012
60.230	0.112	0.001	0.895	0.013
60.240	0.121	0.001	0.921	0.015
60.250	0.130	0.001	0.945	0.017
60.260	0.140	0.001	0.967	0.019
60.270	0.150	0.001	0.988	0.021
60.280	0.160	0.002	1.008	0.023
60.290	0.170	0.002	1.026	0.025
60.300	0.180	0.002	1.042	0.028
60.310	0.191	0.002	1.057	0.030
60.320	0.201	0.003	1.071	0.033
60.330	0.212	0.003	1.084	0.036
60.340	0.223	0.003	1.095	0.039
60.350	0.234	0.004	1.105	0.042
60.360	0.245	0.004	1.113	0.046
60.370	0.256	0.005	1.121	0.049
60.380	0.267	0.005	1.126	0.053
60.390	0.279	0.006	1.131	0.056
60.400	0.290	0.006	1.134	0.060
60.410	0.301	0.007	1.135	0.064
60.420	0.313	0.008	1.135	0.068
60.430	0.324	0.008	1.133	0.073
60.440	0.335	0.009	1.130	0.077
60.450	0.347	0.010	1.125	0.082
60.460	0.358	0.011	1.118	0.087
60.470	0.369	0.012	1.110	0.091
60.480	0.380	0.013	1.101	0.096
60.490	0.391	0.014	1.089	0.101
60.500	0.402	0.015	1.076	0.107
60.510	0.413	0.016	1.061	0.112
