# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.047	0.000
60.020	0.001	0.000	0.094	0.000
60.030	0.002	0.000	0.141	0.000
60.040	0.004	0.000	0.188	0.000
60.050	0.006	0.000	0.234	0.000
60.060	0.008	0.000	0.280	0.000
60.070	0.011	0.000	0.326	0.000
60.080	0.015	0.000	0.370	0.001
60.090	0.019	0.000	0.414	0.001
60.100	0.023	0.000	0.457	0.001
60.110	0.028	0.000	0.500	0.002
60.120	0.033	0.000	0.541	0.002
60.130	0.039	0.000	0.581	0.003
60.140	0.045	0.000	0.620	0.003
60.150	0.051	0.000	0.658	0.004
60.160	0.058	0.000	0.695	0.005
60.170	0.065	0.000	0.731	0.006
60.180	0.073	0.000	0.765	0.007
60.190	0.080	0.000	0.799	0.008
60.200	0.089	0.000	0.831	0.009
60.210	0.097	0.001	0.861	0.010
60.220	0.106	0.001	0.890	0.012
60.230	0.115	0.001	0.918	0.013
60.240	0.124	0.001	0.944	0.015
60.250	0.134	0.001	0.968	0.017
60.260	0.144	0.001	0.991	0.019
60.270	0.154	0.001	1.013	0.021
60.280	0.164	0.002	1.033	0.023
60.290	0.174	0.002	1.051	0.026
60.300	0.185	0.002	1.068	0.028
60.310	0.196	0.003	1.083	0.031
60.320	0.206	0.003	1.097	0.034
60.330	0.217	0.003	1.110	0.037
60.340	0.229	0.004	1.121	0.040
60.350	0.240	0.004	1.131	0.043
60.360	0.251	0.004	1.140	0.047
60.370	0.263	0.005	1.147	0.050
60.380	0.274	0.005	1.153	0.054
60.390	0.286	0.006	1.157	0.058
60.400	0.297	0.007	1.160	0.062
60.410	0.309	0.007	1.161	0.066
60.420	0.321	0.008	1.161	0.070
60.430	0.332	0.009	1.159	0.075
60.440	0.344	0.009	1.156	0.079
60.450	0.355	0.010	1.151	0.084
60.460	0.367	0.011	1.144	0.089
60.470	0.378	0.012	1.135	0.094
60.480	0.389	0.013	1.125	0.099
60.490	0.401	0.014	1.114	0.104
60.500	0.412	0.015	1.100	0.109
60.510	0.423	0.016	1.085	0.115
60.520	0.433	0.017	1.068	0.120
60.530	0.444	0.019	1.051	0.126
60.540	0.454	0.020	1.031	0.132
60.550	0.465	0.021	1.011	0.137
60.560	0.475	0.023	0.989	0.143
60.570	0.484	0.024	0.966	0.149
60.580	0.494	0.026	0.942	0.155
60.590	0.503	0.027	0.916	0.161
60.600	0.512	0.029	0.890	0.168
60.610	0.521	0.031	0.863	0.174
60.620	0.530	0.032	0.835	0.180
60.630	0.538	0.034	0.806	0.186
60.640	0.546	0.036	0.776	0.193
60.650	0.553	0.038	0.746	0.199
60.660	0.561	0.040	0.715	0.206
60.670	0.568	0.042	0.684	0.212
60.680	0.574	0.044	0.652	0.219
60.690	0.581	0.046	0.619	0.225
60.700	0.587	0.049	0.587	0.232
60.710	0.592	0.051	0.554	0.238
60.720	0.598	0.054	0.521	0.244
60.730	0.603	0.056	0.488	0.251
60.740	0.607	0.059	0.455	0.257
60.750	0.612	0.061	0.422	0.263
60.760	0.616	0.064	0.389	0.270
60.770	0.620	0.067	0.356	0.276
60.780	0.623	0.069	0.322	0.282
60.790	0.626	0.072	0.289	0.288
60.800	0.629	0.075	0.256	0.294
60.810	0.631	0.078	0.223	0.300
60.820	0.633	0.081	0.191	0.306
60.830	0.635	0.084	0.158	0.311
60.840	0.636	0.087	0.126	0.317
